Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2019-03-20,DAL,109,MAD,ATL,1,A2,I,E4,false,,2019-03-20T09:15,2019-03-20T09:05,2019-03-20T09:20,2019-03-20T09:26,2019-03-20T14:08,2019-03-20T13:43,2019-03-20T14:26,2019-03-20T13:51,Boeing 767-400,N836MH,,,,,,,f4ebf824-db6e-4055-9909-a7d75f560420,a8765091-d043-44b1-936c-d217bb519e56,f6e9455f-8a6d-4806-89c4-18c09a750f00,6f0c1d11-cfef-4b33-b462-90379270f593,,dae07e29-15b1-4f35-9552-d70888135843
2019-03-20,DAL,2009,ATL,BWI,S,A9,Main,D23,false,,2019-03-20T16:56,2019-03-20T16:54,2019-03-20T16:59,2019-03-20T17:07,2019-03-20T18:31,2019-03-20T18:23,2019-03-20T18:46,2019-03-20T18:33,Boeing 737-900ER,N891DN,,,,,,,4c325c13-b54e-4482-b52f-41e4837f286d,a8765091-d043-44b1-936c-d217bb519e56,6f0c1d11-cfef-4b33-b462-90379270f593,4923b37c-381e-48e6-ba91-7c75d4151f64,,24012541-435d-4a27-af8a-4791336f1965
2019-05-26,DAL,7856,IAD,ICN,Main,A32,2,254,false,,2019-05-26T13:25,2019-05-26T13:30,2019-05-26T13:49,2019-05-26T13:44,2019-05-27T16:11,2019-05-27T16:11,2019-05-27T16:50,2019-05-27T16:17,Boeing 777-300 ER,HL8042,,,,,,,b234d4a2-b886-44f8-b34b-22e5b3039618,a8765091-d043-44b1-936c-d217bb519e56,519696f5-bda6-457c-ae4c-dd1cb07e20de,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2019-05-27,DAL,7897,ICN,HKG,2,239,1,,false,,2019-05-27T19:45,2019-05-27T19:43,2019-05-27T20:01,2019-05-27T20:01,2019-05-27T22:06,2019-05-27T22:06,2019-05-27T22:30,2019-05-27T22:15,Boeing 787-9,HL8081,,,,,,,3f42c5e4-ab7a-4238-b1d8-002c228c9db2,a8765091-d043-44b1-936c-d217bb519e56,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,7da61aa8-3d56-411b-8be5-50a198e86c60,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2019-06-23,AAL,8923,HKG,JFK,1,45,8,,false,,2019-06-23T09:15,2019-06-23T10:03,2019-06-23T09:25,2019-06-23T10:18,2019-06-23T12:50,2019-06-23T12:46,2019-06-23T13:10,2019-06-23T12:52,Boeing 777-300 ER,BKPX,HQKFTZ,,,,,,d4c33005-3fba-4422-bcd8-7966a589bbab,ae1fc6a5-c42d-4e70-ba63-d641d248d270,7da61aa8-3d56-411b-8be5-50a198e86c60,fc332185-4dde-4791-b449-0de5e83e47b9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2019-07-26,AAL,2527,BOS,DFW,B,B8,C,39,false,,2019-07-26T06:09,2019-07-26T06:05,2019-07-26T06:32,2019-07-26T06:20,2019-07-26T09:05,2019-07-26T08:36,2019-07-26T09:20,2019-07-26T08:48,Boeing 737-800,N904NN,HQKFTZ,24C,,,,,0471427d-11b1-4bb3-93dd-c9630cc0e64e,ae1fc6a5-c42d-4e70-ba63-d641d248d270,813ec62f-c303-44d9-a041-a4434d6fd652,1573100e-e4a3-47b0-9399-01b36074e1f5,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2019-07-26,AAL,125,DFW,HKG,D,23,1,36,false,,2019-07-26T10:50,2019-07-26T10:40,2019-07-26T11:17,2019-07-26T10:56,2019-07-27T16:02,2019-07-27T15:20,2019-07-27T16:10,2019-07-27T15:30,Boeing 777-300 ER,N736AT,HQKFTZ,25J,,,,,5c242c1a-964a-421a-b1e6-8e2379ad94c9,ae1fc6a5-c42d-4e70-ba63-d641d248d270,1573100e-e4a3-47b0-9399-01b36074e1f5,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2019-08-26,AAL,192,HKG,LAX,1,24,4,43,false,,2019-08-26T18:30,2019-08-26T18:30,,2019-08-26T19:30,2019-08-26T16:59,2019-08-26T16:59,2019-08-26T17:25,2019-08-26T17:15,Boeing 777-300 ER,N720AN,,,,,,,9f396653-abfe-425a-a81e-70d3c6aaa929,ae1fc6a5-c42d-4e70-ba63-d641d248d270,7da61aa8-3d56-411b-8be5-50a198e86c60,25b8d712-9888-423f-868d-b25f1d184aaf,,78eac566-1ad0-4ded-9979-9510dfde05f2
2019-08-26,AAL,2379,LAX,CLT,,,,,false,,2019-08-26T22:25,2019-08-26T23:14,,2019-08-26T23:27,,2019-08-27T01:25,2019-08-27T06:16,2019-08-27T06:56,Airbus A321,N551UW,,,,,,,9497f545-79c3-422a-9852-fbea96988333,ae1fc6a5-c42d-4e70-ba63-d641d248d270,25b8d712-9888-423f-868d-b25f1d184aaf,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2019-08-27,AAL,4951,CLT,LYH,Main,E4,,,false,,2019-08-27T07:32,2019-08-27T07:30,,2019-08-27T07:52,2019-08-27T08:26,2019-08-27T08:26,2019-08-27T08:43,2019-08-27T08:30,Embraer RJ145,N634AE,,,,,,,220ad882-4ec6-4f60-ad32-fec19469a868,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,592fd4ac-202e-4e9b-8aca-ac0722b8f8ec,,6358f527-1221-47d3-9170-26351f84ac05
2019-11-29,UAL,655,IAD,BOS,,,,,false,,2019-11-29T12:45,2019-11-29T12:40,,2019-11-29T12:52,,2019-11-29T12:45,2019-11-29T14:14,2019-11-29T14:04,Boeing 737-800,N36207,,,,,,,983ed892-e62d-4942-b0f0-b16cf33afacd,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,813ec62f-c303-44d9-a041-a4434d6fd652,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2019-12-02,UAL,511,BOS,IAD,,,,,false,,2019-12-02T14:40,2019-12-02T15:12,,2019-12-02T15:20,,2019-12-02T14:40,2019-12-02T16:25,2019-12-02T16:38,Boeing 737-800,N14235,,,,,,,e0d3f15e-90c8-4f55-9e1e-522988db4360,b57b4c86-4724-48f1-80be-d7de4036004a,813ec62f-c303-44d9-a041-a4434d6fd652,519696f5-bda6-457c-ae4c-dd1cb07e20de,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2019-12-21,AAL,4981,LYH,CLT,,2,Main,E1,false,,2019-12-21T17:59,2019-12-21T18:02,2019-12-21T18:19,2019-12-21T18:16,2019-12-21T18:55,2019-12-21T18:53,2019-12-21T19:14,2019-12-21T19:02,Embraer RJ145,N695AE,,,,,,,00ca07d8-1c39-4769-8e49-beb3936b071d,ae1fc6a5-c42d-4e70-ba63-d641d248d270,592fd4ac-202e-4e9b-8aca-ac0722b8f8ec,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,,6358f527-1221-47d3-9170-26351f84ac05
2019-12-21,AAL,1721,CLT,LAX,Main,A6,4,48B,false,,2019-12-21T20:20,2019-12-21T21:06,2019-12-21T21:13,2019-12-21T21:27,2019-12-21T23:13,2019-12-21T17:20,2019-12-21T22:54,2019-12-21T23:17,Airbus A321,N187US,,,,,,,09e00cdc-c799-4098-a983-09b0cc364eec,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,25b8d712-9888-423f-868d-b25f1d184aaf,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2019-12-21,AAL,193,LAX,HKG,4,43,1,44,false,,2019-12-21T23:45,2019-12-21T23:51,2019-12-22T00:02,2019-12-22T00:13,,2019-12-23T06:59,2019-12-23T07:25,2019-12-23T07:05,Boeing 777-300 ER,N731AN,,,,,,,0e803a85-25b4-416a-8d1c-58b6b43c8734,ae1fc6a5-c42d-4e70-ba63-d641d248d270,25b8d712-9888-423f-868d-b25f1d184aaf,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2019-12-29,CRK,690,HKG,CTS,1,201,INTL,,false,,2019-12-29T09:15,2019-12-29T09:16,2019-12-29T09:41,2019-12-29T09:41,2019-12-29T14:46,2019-12-29T14:46,2019-12-29T15:10,2019-12-29T14:56,Airbus A330-300,BLNU,,,,,,,d9e029cd-0da2-409b-9982-bd7414fa3ce1,05cd95aa-9429-4190-8385-c02370a34064,7da61aa8-3d56-411b-8be5-50a198e86c60,989b8d16-a970-4003-9c46-16b99b099848,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2020-01-04,CRK,693,CTS,HKG,INTL,,1,,false,,2020-01-04T16:10,2020-01-04T16:30,2020-01-04T16:32,2020-01-04T16:32,2020-01-04T20:45,2020-01-04T20:45,2020-01-04T21:20,2020-01-04T20:51,Airbus A330-300,BLHD,,,,,,,96ca21a4-eef7-4a4f-8bd8-3e88679e637c,05cd95aa-9429-4190-8385-c02370a34064,989b8d16-a970-4003-9c46-16b99b099848,7da61aa8-3d56-411b-8be5-50a198e86c60,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2020-01-06,KAL,608,HKG,ICN,1,25,2,255,false,,2020-01-06T00:55,2020-01-06T01:27,,2020-01-06T01:48,2020-01-06T05:53,2020-01-06T05:53,2020-01-06T05:20,2020-01-06T06:03,Boeing 787-9,HL7208,,,,,,,83f4db9e-f93d-41d7-99d0-e988e1307b7b,4bcd41e4-4c1d-4f70-8e68-51edb812ab3c,7da61aa8-3d56-411b-8be5-50a198e86c60,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2020-01-06,KAL,93,ICN,IAD,2,247,Main,,false,,2020-01-06T10:15,2020-01-06T10:23,2020-01-06T10:25,2020-01-06T10:42,2020-01-06T09:46,2020-01-06T09:46,2020-01-06T09:50,2020-01-06T09:52,Boeing 777-300 ER,HL7204,,,,,,,e671f929-8692-4d85-ad52-1ae2d8b82031,4bcd41e4-4c1d-4f70-8e68-51edb812ab3c,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,519696f5-bda6-457c-ae4c-dd1cb07e20de,,78eac566-1ad0-4ded-9979-9510dfde05f2
2020-03-15,UAE,232,IAD,DXB,Main,A16,3,,false,,2020-03-15T11:10,,2020-03-15T11:27,2020-03-15T11:21,2020-03-16T07:26,2020-03-16T07:25,2020-03-16T08:10,,Airbus A380-800,A6-EUR,,,,,,,20d26412-0223-4434-9d40-dfec8adc5b52,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,519696f5-bda6-457c-ae4c-dd1cb07e20de,e8b51cb0-c41d-4224-b842-7f69655f8076,,c0d25858-9057-4fec-bd89-0c18fd4489d3
2020-03-16,UAE,380,DXB,HKG,3,C8,1,,false,,2020-03-16T09:55,2020-03-16T10:09,,2020-03-16T10:24,2020-03-16T20:42,2020-03-16T20:42,2020-03-16T21:05,2020-03-16T20:47,Boeing 777-300 ER,A6ENE,,,,,,,01441e1c-92ce-4c97-ae40-bd7afed09424,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,e8b51cb0-c41d-4224-b842-7f69655f8076,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2020-09-19,UAE,363,CAN,DXB,1,,3,,false,,2020-09-19T17:50,2020-09-19T18:26,2020-09-19T18:00,2020-09-19T19:20:17,2020-09-19T21:30,2020-09-19T22:21:05,2020-09-19T21:40,2020-09-19T22:24,Airbus A380,A6EUT,,,,,,,3b2e95e3-2685-4794-b7c8-92f9cbef514d,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,7436d9ad-c589-49cb-9578-7762e8598fdc,e8b51cb0-c41d-4224-b842-7f69655f8076,,b8eb326f-91a9-4135-9759-93f73428b24f
2020-10-04,UAE,231,DXB,IAD,3,B20,,,false,,2020-10-04T08:30,2020-10-04T08:34,2020-10-04T08:30,2020-10-04T09:00:31,2020-10-04T14:50,2020-10-04T14:52,2020-10-04T14:50,2020-10-04T14:58,Boeing 777-300 ER,A6EQC,,,,,,,d4c7d52c-0763-4ad4-a76a-1adcb1b693cf,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,e8b51cb0-c41d-4224-b842-7f69655f8076,519696f5-bda6-457c-ae4c-dd1cb07e20de,,78eac566-1ad0-4ded-9979-9510dfde05f2
2021-05-29,DAL,2455,RDU,LAX,2,C3,2,23A,false,,2021-05-29T19:39,2021-05-29T19:33,2021-05-29T19:49,2021-05-29T19:44:47,2021-05-29T22:00,2021-05-29T21:53,2021-05-29T22:10,2021-05-29T21:58,Boeing 737-800,N3739P,,,,,,,e82290bf-0bd3-4e7a-9958-855cd29979da,a8765091-d043-44b1-936c-d217bb519e56,7852b092-092d-4c60-a638-d43993aa2899,25b8d712-9888-423f-868d-b25f1d184aaf,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2021-05-30,CES,7332,LAX,SZX,TBIT,,T3,,false,,2021-05-30T00:05,,2021-05-30T00:05,2021-05-30T00:12,2021-05-31T06:59:06,2021-05-31T05:23,2021-05-31T05:55,2021-05-31T05:33,Boeing 777-300 ER,B7368,,,,,,,266fe918-fa53-4efe-9995-a9450ed9ef2d,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,25b8d712-9888-423f-868d-b25f1d184aaf,fe67fc1f-8483-4796-891a-81a54515c216,,78eac566-1ad0-4ded-9979-9510dfde05f2
2021-08-16,ETD,836,PVG,ICN,2,,1,,false,,2021-08-16T20:10,2021-08-16T20:40,2021-08-16T20:10,2021-08-16T21:07,2021-08-16T23:05,2021-08-16T23:24,2021-08-16T23:05,2021-08-16T23:37,Boeing 777-300 ER,A6ETC,,,,,,,2b0cb5e4-426a-47c3-85b4-d4fe81dfc76d,4d3bca9e-92ed-4ba9-b15d-9adf90c8a57b,94ecd389-4c82-477f-8502-261c27f5b6fa,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2021-08-17,ETD,836,ICN,AUH,1,,3,70,false,,2021-08-17T00:35,2021-08-17T01:12,2021-08-17T00:45,2021-08-17T01:33:52,2021-08-17T05:25,2021-08-17T05:41,,2021-08-17T05:46,Boeing 777-300 ER,A6ETC,,,,,,,27e82261-4cd2-4804-8003-582449750026,4d3bca9e-92ed-4ba9-b15d-9adf90c8a57b,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,1f275af7-54af-4898-b7d6-4c0caa2b7eb6,,78eac566-1ad0-4ded-9979-9510dfde05f2
2021-08-17,ETD,131,AUH,IAD,3,61,Main,,false,,2021-08-17T10:10,2021-08-17T10:28,2021-08-17T10:20,2021-08-17T10:46:14,2021-08-17T16:16,2021-08-17T16:18:18,,2021-08-17T16:24,Boeing 787-9,A6BLB,,,,,,,837bc5a8-050b-415d-832a-9ba3c97f74f0,4d3bca9e-92ed-4ba9-b15d-9adf90c8a57b,1f275af7-54af-4898-b7d6-4c0caa2b7eb6,519696f5-bda6-457c-ae4c-dd1cb07e20de,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2021-11-23,UAL,688,IAD,BOS,,D24,B,B27,false,,2021-11-23T17:10,2021-11-23T17:33,2021-11-23T17:20,2021-11-23T17:52:39,2021-11-23T18:30,2021-11-23T19:05,2021-11-23T18:40,2021-11-23T19:08,Boeing 737-700,N15751,,,,,,,08f16dbd-55dc-4f17-a9ee-0a6d3dc26951,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,813ec62f-c303-44d9-a041-a4434d6fd652,,ec6b2abe-069a-4181-b632-6e9d3086a9d3
2021-11-28,AAL,418,BOS,CLT,B,B17,,B3,false,,2021-11-28T05:50,2021-11-28T05:46,2021-11-28T05:50,2021-11-28T06:02:13,2021-11-28T08:30,2021-11-28T08:02,2021-11-28T08:30,2021-11-28T08:11,Airbus A321neo,N421UW,,,,,,,95895377-5150-4d42-8a8e-0c8e760106e7,ae1fc6a5-c42d-4e70-ba63-d641d248d270,813ec62f-c303-44d9-a041-a4434d6fd652,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2021-11-28,AAL,5551,CLT,CHO,Main,E8,,5A,false,,2021-11-28T14:28,2021-11-28T14:20,2021-11-28T14:28,2021-11-28T14:40:40,2021-11-28T15:41,2021-11-28T15:22,2021-11-28T15:41,2021-11-28T15:25,"Bombardier CRJ900 ",N574NN,,,,,,,5b0fb1de-b76a-4b3c-ae5c-f8eb8d5a96d5,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,5fd07c34-1fa4-4259-87e3-62eed404c3d9,,8a4bd3f7-3aac-4e32-8a52-07e5525b36e3
2021-12-23,DAL,5359,CHO,LGA,,,C,D93,false,,2021-12-23T11:40,2021-12-23T11:30,2021-12-23T11:40,2021-12-23T11:43:39,2021-12-23T12:59,2021-12-23T12:40:02,2021-12-23T12:59,2021-12-23T12:54,"Bombardier CRJ900 ",N606LR,,,,,,,4def130e-8871-43a9-a045-e03cdb473f43,a8765091-d043-44b1-936c-d217bb519e56,5fd07c34-1fa4-4259-87e3-62eed404c3d9,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,8a4bd3f7-3aac-4e32-8a52-07e5525b36e3
2021-12-30,AAL,4554,LGA,CHO,B,41,,5B,false,,2021-12-30T17:30,2021-12-30T17:18,2021-12-30T17:30,2021-12-30T17:42:39,2021-12-30T18:57,2021-12-30T18:45,2021-12-30T18:57,2021-12-30T18:50,Embraer 170,N821MD,,,,,,,8734d7e7-8d87-4972-b190-0c87facca340,ae1fc6a5-c42d-4e70-ba63-d641d248d270,dfeb8457-3376-49f8-b542-dbeb2ec9f719,5fd07c34-1fa4-4259-87e3-62eed404c3d9,,2acf1934-38ee-4709-8efa-7018f9be5222
2022-05-19,UAL,4327,MYR,IAD,,B5,Main,A1B,false,,2022-05-19T14:52,2022-05-19T14:48,2022-05-19T15:02,2022-05-19T15:14:53,2022-05-19T16:09,2022-05-19T16:26:53,,2022-05-19T16:35,Embraer RJ145,N17138,,,,,,,f4669d45-c38f-4883-9c14-21dfc3480785,b57b4c86-4724-48f1-80be-d7de4036004a,1de16c5e-734a-4dc1-a46e-a80c01184bc9,519696f5-bda6-457c-ae4c-dd1cb07e20de,,6358f527-1221-47d3-9170-26351f84ac05
2022-05-19,UAL,2618,IAD,SFO,,D26,3,E5,false,,2022-05-19T22:05,2022-05-19T22:11,2022-05-19T22:15,2022-05-19T22:32:30,2022-05-20T00:57,2022-05-20T01:04,2022-05-20T01:07,2022-05-20T01:09,Boeing 737-900ER,N68452,,,,,,,a0372a34-a9da-470f-9b30-ee97417e8e1a,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,24012541-435d-4a27-af8a-4791336f1965
2022-05-24,UAL,2247,SFO,IAD,2,D10,,C11,false,,2022-05-24T22:43,2022-05-24T22:43,2022-05-24T22:53,2022-05-24T23:04:32,2022-05-25T06:44,2022-05-25T06:42,2022-05-25T06:54,2022-05-25T06:46,Boeing 737-900ER,N68843,,,,,,,0615efb4-10ff-406f-b543-4db72a88f252,b57b4c86-4724-48f1-80be-d7de4036004a,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,519696f5-bda6-457c-ae4c-dd1cb07e20de,,24012541-435d-4a27-af8a-4791336f1965
2022-11-24,AAL,5921,CHO,CLT,,5B,Main,E5,false,,2022-11-24T11:00,2022-11-24T10:47,2022-11-24T11:10,2022-11-24T11:08:25,2022-11-24T12:14,2022-11-24T11:56:41,2022-11-24T12:24,2022-11-24T12:09,Embraer RJ145,N637AE,,,,,,,021d31a0-e565-41c6-bc59-15810d6d03ab,ae1fc6a5-c42d-4e70-ba63-d641d248d270,5fd07c34-1fa4-4259-87e3-62eed404c3d9,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,,6358f527-1221-47d3-9170-26351f84ac05
2022-11-24,AAL,1582,CLT,ILM,,D4,,9,false,,2022-11-24T13:35,2022-11-24T13:24,2022-11-24T13:45,2022-11-24T13:43:05,2022-11-24T14:29,2022-11-24T14:14:47,2022-11-24T14:39,2022-11-24T14:19,Airbus A319,N824AW,,,,,,,464bf31d-f97d-463d-8c40-ee7ed16f79f8,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,8ab304b6-69b8-41c4-87bb-c483f5d007ae,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2022-11-27,AAL,4539,RDU,DCA,2,C18,2,D37,false,,2022-11-27T11:43,2022-11-27T11:35,2022-11-27T11:53,2022-11-27T12:10:51,2022-11-27T12:48,2022-11-27T13:06:37,2022-11-27T12:58,2022-11-27T13:16,Embraer 175,N112HQ,,,,,,,f31cef0c-4a80-4dca-b9f8-df8aecb2fcb5,ae1fc6a5-c42d-4e70-ba63-d641d248d270,7852b092-092d-4c60-a638-d43993aa2899,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,,36728d5b-40cd-46ec-93ba-8822376b565d
2022-12-19,AAL,4696,CHO,LGA,,5A,B,18,false,,2022-12-19T10:36,2022-12-19T10:30,2022-12-19T10:46,2022-12-19T10:43:35,2022-12-19T11:50,2022-12-19T11:38:08,2022-12-19T12:00,2022-12-19T11:44,Embraer 170,N867RW,,,,,,,d42ce77a-f6fa-4c32-b680-53c25e1ce14c,ae1fc6a5-c42d-4e70-ba63-d641d248d270,5fd07c34-1fa4-4259-87e3-62eed404c3d9,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,2acf1934-38ee-4709-8efa-7018f9be5222
2022-12-21,CPA,841,JFK,HKG,8,,1,,false,,2022-12-21T09:00,2022-12-21T09:16,2022-12-21T09:10,2022-12-21T10:09:35,2022-12-22T14:05,2022-12-22T14:14:05,2022-12-22T14:15,,Airbus A350-1000,BLXO,,,,,,,0662b988-60bb-4716-95ba-8b95b837cc2b,8508d82c-f03a-4c99-88d8-46ede5aceb6d,fc332185-4dde-4791-b449-0de5e83e47b9,7da61aa8-3d56-411b-8be5-50a198e86c60,,471867c0-706e-4127-b1aa-ff84ebeae8f3
