Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2025-03-07,UAL,1728,IAD,DEN,Main,D5,Main,B42,false,,2025-03-07T17:26,2025-03-07T17:25,2025-03-07T17:36,2025-03-07T17:50,2025-03-07T19:25,2025-03-07T19:19,2025-03-07T19:35,2025-03-07T19:28,Boeing 777-200 ER,N771UA,,,,,,,d4359519-5fd2-4f49-bc15-7886494d88a2,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,d00b5728-0678-4689-b660-fe9e583203dc,,a0f171e1-86df-426a-8922-e460c0660ae6
2025-03-08,UAL,1604,DEN,RNO,Main,B49,Main,C3,false,,2025-03-08T15:55,2025-03-08T15:51,2025-03-08T16:05,2025-03-08T16:06,2025-03-08T17:12,2025-03-08T16:55,2025-03-08T17:22,2025-03-08T17:01,Boeing 737-800,N33266,,,,,,,68078b4a-4d0c-497c-9c21-52adf0d67f11,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,a6215c29-3c70-433f-954a-8c1295660eb6,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-03-12,UAL,1009,RNO,DEN,Main,C8,Main,B18,false,,2025-03-12T08:45,2025-03-12T08:45,2025-03-12T08:55,2025-03-12T08:59,2025-03-12T11:54,2025-03-12T11:44,2025-03-12T12:04,2025-03-12T11:50,Airbus A319,N819UA,,,,,,,ba9dee4f-4546-444a-80bc-469759c54c5b,b57b4c86-4724-48f1-80be-d7de4036004a,a6215c29-3c70-433f-954a-8c1295660eb6,d00b5728-0678-4689-b660-fe9e583203dc,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2025-03-12,UAL,741,DEN,IAD,Main,B24,Main,1,false,,2025-03-12T13:40,2025-03-12T13:34,2025-03-12T13:53,2025-03-12T13:50,2025-03-12T18:49,2025-03-12T18:45,2025-03-12T18:55,2025-03-12T18:49,Boeing 757-300,N75853,,,,,,,2a8c3d97-85bb-477a-b118-c0cbd8ff6fa6,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,519696f5-bda6-457c-ae4c-dd1cb07e20de,,0e3e6575-bd45-480c-bd83-360ac9fc02d2
2025-03-31,ASA,507,IAD,SAN,Main,B65,2,26,false,,2025-03-31T17:30,2025-03-31T17:23,2025-03-31T17:35,2025-03-31T18:17,2025-03-31T19:31,2025-03-31T20:50,2025-03-31T20:19,2025-03-31T21:19,Boeing 737-900ER,N419AS,,,,,,,05a2c604-278f-4f46-9afe-af7f01c78c26,45411282-5411-46ac-89ce-720ab9efe700,519696f5-bda6-457c-ae4c-dd1cb07e20de,dbeb2230-9c7b-428a-b122-a07186f48a86,,24012541-435d-4a27-af8a-4791336f1965
2025-04-02,UAL,2129,SAN,IAD,2,44,Main,D21,false,,2025-04-02T21:30,2025-04-02T22:10,2025-04-02T21:40,2025-04-02T22:31,2025-04-03T05:16,2025-04-03T06:11,2025-04-03T05:26,2025-04-03T06:16,Boeing 737 MAX 9,N37508,,,,,,,c90d781d-272c-4b06-9388-fddb25e521a0,b57b4c86-4724-48f1-80be-d7de4036004a,dbeb2230-9c7b-428a-b122-a07186f48a86,519696f5-bda6-457c-ae4c-dd1cb07e20de,,8240381a-dce7-4694-a1d8-4769a0c6507a
2025-05-20,UAL,1757,IAD,SFO,Main,D29,INTL,G13,false,,2025-05-20T18:05,2025-05-20T18:03,2025-05-20T18:24,2025-05-20T18:30,2025-05-20T21:07,2025-05-20T21:39,2025-05-20T20:50,2025-05-20T21:49,Boeing 787-9,N29984,JXCB2M,,,,,,d62ac91f-75e9-4db6-bd67-64fda3cd726d,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2025-05-28,UAL,1791,LAX,SFO,8,80,2,D8,false,,2025-05-28T10:26,2025-05-28T10:19,2025-05-28T10:36,2025-05-28T11:08,2025-05-28T11:49,2025-05-28T12:10,2025-05-28T11:59,2025-05-28T12:12,Boeing 737 MAX 8,N47282,H66108,29D,,,,,c742b1b3-23ef-412d-9b5f-92b26ca7dd89,b57b4c86-4724-48f1-80be-d7de4036004a,25b8d712-9888-423f-868d-b25f1d184aaf,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-05-28,UAL,871,SFO,TPE,I,G6,2,D7,false,,2025-05-28T14:40,2025-05-28T15:03,2025-05-28T14:50,2025-05-28T15:31,2025-05-29T18:35,2025-05-29T19:02,2025-05-29T18:45,2025-05-29T19:13,Boeing 777-300 ER,N2737U,H66108,48G,,,,,520c1409-da15-4d10-a3a3-6e9084303a55,b57b4c86-4724-48f1-80be-d7de4036004a,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,1a0ff314-4db9-43eb-aef0-59d40b78505b,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-06-05,CSZ,9074,TPE,SZX,2,C5R,T3,,false,,2025-06-05T17:35,2025-06-05T17:38,2025-06-05T17:45,2025-06-05T17:55,2025-06-05T19:15,2025-06-05T19:16,2025-06-05T19:25,2025-06-05T19:30,Boeing 737-800,B1935,,,,,,,8f2c72d9-fe1f-4f27-9b37-87508da1b1a3,882ae493-92fd-4736-99aa-2a349ce76c91,1a0ff314-4db9-43eb-aef0-59d40b78505b,fe67fc1f-8483-4796-891a-81a54515c216,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
